station_id,label,parameter,unit_name,qualifier
E7050,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
4163,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
0890TH,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E1310,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3680,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3275,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3167,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3307,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3404,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3014,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3901,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3999,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E6380,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
1412,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
Not_Specified,rainfall-1-t-15_min-mm,rainfall,mm,1
Not_Specified,rainfall-2-t-15_min-mm,rainfall,mm,2
0,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E13600,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
242534TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E8520,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
276316TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E10130,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E24238,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
